1;['-infity', -2.0];0;0.0228;2.28;-2.28;2.28
2;[-2.0, -1.99];0;0.0004;0.04;-0.04;0.04
3;[-1.99, -1.98];0;0.0004;0.04;-0.04;0.04
4;[-1.98, -1.98];1;0.0005;0.05;0.95;20.25
5;[-1.98, -1.97];0;0.0005;0.05;-0.05;0.05
6;[-1.97, -1.96];1;0.0005;0.05;0.95;19.56
7;[-1.96, -1.95];0;0.0005;0.05;-0.05;0.05
8;[-1.95, -1.94];0;0.0005;0.05;-0.05;0.05
9;[-1.94, -1.94];0;0.0005;0.05;-0.05;0.05
10;[-1.94, -1.93];0;0.0005;0.05;-0.05;0.05
11;[-1.93, -1.92];0;0.0005;0.05;-0.05;0.05
12;[-1.92, -1.91];0;0.0005;0.05;-0.05;0.05
13;[-1.91, -1.9];0;0.0005;0.05;-0.05;0.05
14;[-1.9, -1.9];1;0.0005;0.05;0.95;17.06
15;[-1.9, -1.89];0;0.0005;0.05;-0.05;0.05
16;[-1.89, -1.88];1;0.0005;0.05;0.95;16.49
17;[-1.88, -1.87];0;0.0006;0.06;-0.06;0.06
18;[-1.87, -1.86];0;0.0006;0.06;-0.06;0.06
19;[-1.86, -1.86];0;0.0006;0.06;-0.06;0.06
20;[-1.86, -1.85];0;0.0006;0.06;-0.06;0.06
21;[-1.85, -1.84];0;0.0006;0.06;-0.06;0.06
22;[-1.84, -1.83];0;0.0006;0.06;-0.06;0.06
23;[-1.83, -1.82];0;0.0006;0.06;-0.06;0.06
24;[-1.82, -1.82];1;0.0006;0.06;0.94;14.43
25;[-1.82, -1.81];0;0.0006;0.06;-0.06;0.06
26;[-1.81, -1.8];1;0.0006;0.06;0.94;13.97
27;[-1.8, -1.79];0;0.0006;0.06;-0.06;0.06
28;[-1.79, -1.78];0;0.0006;0.06;-0.06;0.06
29;[-1.78, -1.78];0;0.0007;0.07;-0.07;0.07
30;[-1.78, -1.77];0;0.0007;0.07;-0.07;0.07
31;[-1.77, -1.76];0;0.0007;0.07;-0.07;0.07
32;[-1.76, -1.75];1;0.0007;0.07;0.93;12.67
33;[-1.75, -1.74];0;0.0007;0.07;-0.07;0.07
34;[-1.74, -1.74];0;0.0007;0.07;-0.07;0.07
35;[-1.74, -1.73];0;0.0007;0.07;-0.07;0.07
36;[-1.73, -1.72];0;0.0007;0.07;-0.07;0.07
37;[-1.72, -1.71];0;0.0007;0.07;-0.07;0.07
38;[-1.71, -1.7];0;0.0007;0.07;-0.07;0.07
39;[-1.7, -1.7];0;0.0008;0.08;-0.08;0.08
40;[-1.7, -1.69];0;0.0008;0.08;-0.08;0.08
41;[-1.69, -1.68];0;0.0008;0.08;-0.08;0.08
42;[-1.68, -1.67];0;0.0008;0.08;-0.08;0.08
43;[-1.67, -1.66];0;0.0008;0.08;-0.08;0.08
44;[-1.66, -1.66];0;0.0008;0.08;-0.08;0.08
45;[-1.66, -1.65];0;0.0008;0.08;-0.08;0.08
46;[-1.65, -1.64];0;0.0008;0.08;-0.08;0.08
47;[-1.64, -1.63];0;0.0008;0.08;-0.08;0.08
48;[-1.63, -1.62];0;0.0009;0.09;-0.09;0.09
49;[-1.62, -1.62];1;0.0009;0.09;0.91;9.69
50;[-1.62, -1.61];1;0.0009;0.09;0.91;9.54
51;[-1.61, -1.6];0;0.0009;0.09;-0.09;0.09
52;[-1.6, -1.59];0;0.0009;0.09;-0.09;0.09
53;[-1.59, -1.58];0;0.0009;0.09;-0.09;0.09
54;[-1.58, -1.58];0;0.0009;0.09;-0.09;0.09
55;[-1.58, -1.57];0;0.0009;0.09;-0.09;0.09
56;[-1.57, -1.56];0;0.0009;0.09;-0.09;0.09
57;[-1.56, -1.55];0;0.001;0.1;-0.1;0.1
58;[-1.55, -1.54];0;0.001;0.1;-0.1;0.1
59;[-1.54, -1.54];0;0.001;0.1;-0.1;0.1
60;[-1.54, -1.53];0;0.001;0.1;-0.1;0.1
61;[-1.53, -1.52];0;0.001;0.1;-0.1;0.1
62;[-1.52, -1.51];0;0.001;0.1;-0.1;0.1
63;[-1.51, -1.5];1;0.001;0.1;0.9;7.84
64;[-1.5, -1.49];0;0.001;0.1;-0.1;0.1
65;[-1.49, -1.49];0;0.0011;0.11;-0.11;0.11
66;[-1.49, -1.48];0;0.0011;0.11;-0.11;0.11
67;[-1.48, -1.47];0;0.0011;0.11;-0.11;0.11
68;[-1.47, -1.46];1;0.0011;0.11;0.89;7.28
69;[-1.46, -1.45];0;0.0011;0.11;-0.11;0.11
70;[-1.45, -1.45];0;0.0011;0.11;-0.11;0.11
71;[-1.45, -1.44];0;0.0011;0.11;-0.11;0.11
72;[-1.44, -1.43];0;0.0011;0.11;-0.11;0.11
73;[-1.43, -1.42];0;0.0012;0.12;-0.12;0.12
74;[-1.42, -1.41];0;0.0012;0.12;-0.12;0.12
75;[-1.41, -1.41];0;0.0012;0.12;-0.12;0.12
76;[-1.41, -1.4];0;0.0012;0.12;-0.12;0.12
77;[-1.4, -1.39];0;0.0012;0.12;-0.12;0.12
78;[-1.39, -1.38];0;0.0012;0.12;-0.12;0.12
79;[-1.38, -1.37];0;0.0012;0.12;-0.12;0.12
80;[-1.37, -1.37];0;0.0012;0.12;-0.12;0.12
81;[-1.37, -1.36];0;0.0013;0.13;-0.13;0.13
82;[-1.36, -1.35];1;0.0013;0.13;0.87;5.96
83;[-1.35, -1.34];0;0.0013;0.13;-0.13;0.13
84;[-1.34, -1.33];0;0.0013;0.13;-0.13;0.13
85;[-1.33, -1.33];0;0.0013;0.13;-0.13;0.13
86;[-1.33, -1.32];0;0.0013;0.13;-0.13;0.13
87;[-1.32, -1.31];0;0.0013;0.13;-0.13;0.13
88;[-1.31, -1.3];0;0.0014;0.14;-0.14;0.14
89;[-1.3, -1.29];1;0.0014;0.14;0.86;5.4
90;[-1.29, -1.29];0;0.0014;0.14;-0.14;0.14
91;[-1.29, -1.28];0;0.0014;0.14;-0.14;0.14
92;[-1.28, -1.27];0;0.0014;0.14;-0.14;0.14
93;[-1.27, -1.26];0;0.0014;0.14;-0.14;0.14
94;[-1.26, -1.25];0;0.0014;0.14;-0.14;0.14
95;[-1.25, -1.25];0;0.0015;0.15;-0.15;0.15
96;[-1.25, -1.24];0;0.0015;0.15;-0.15;0.15
97;[-1.24, -1.23];0;0.0015;0.15;-0.15;0.15
98;[-1.23, -1.22];0;0.0015;0.15;-0.15;0.15
99;[-1.22, -1.21];0;0.0015;0.15;-0.15;0.15
100;[-1.21, -1.21];0;0.0015;0.15;-0.15;0.15
101;[-1.21, -1.2];0;0.0016;0.16;-0.16;0.16
102;[-1.2, -1.19];0;0.0016;0.16;-0.16;0.16
103;[-1.19, -1.18];0;0.0016;0.16;-0.16;0.16
104;[-1.18, -1.17];1;0.0016;0.16;0.84;4.42
105;[-1.17, -1.17];0;0.0016;0.16;-0.16;0.16
106;[-1.17, -1.16];0;0.0016;0.16;-0.16;0.16
107;[-1.16, -1.15];0;0.0016;0.16;-0.16;0.16
108;[-1.15, -1.14];0;0.0017;0.17;-0.17;0.17
109;[-1.14, -1.13];0;0.0017;0.17;-0.17;0.17
110;[-1.13, -1.13];0;0.0017;0.17;-0.17;0.17
111;[-1.13, -1.12];2;0.0017;0.17;1.83;19.65
112;[-1.12, -1.11];0;0.0017;0.17;-0.17;0.17
113;[-1.11, -1.1];0;0.0017;0.17;-0.17;0.17
114;[-1.1, -1.09];1;0.0017;0.17;0.83;3.89
115;[-1.09, -1.09];1;0.0018;0.18;0.82;3.84
116;[-1.09, -1.08];0;0.0018;0.18;-0.18;0.18
117;[-1.08, -1.07];2;0.0018;0.18;1.82;18.45
118;[-1.07, -1.06];0;0.0018;0.18;-0.18;0.18
119;[-1.06, -1.05];0;0.0018;0.18;-0.18;0.18
120;[-1.05, -1.05];0;0.0018;0.18;-0.18;0.18
121;[-1.05, -1.04];1;0.0019;0.19;0.81;3.57
122;[-1.04, -1.03];0;0.0019;0.19;-0.19;0.19
123;[-1.03, -1.02];0;0.0019;0.19;-0.19;0.19
124;[-1.02, -1.01];0;0.0019;0.19;-0.19;0.19
125;[-1.01, -1.01];0;0.0019;0.19;-0.19;0.19
126;[-1.01, -1.0];0;0.0019;0.19;-0.19;0.19
127;[-1.0, -0.99];0;0.002;0.2;-0.2;0.2
128;[-0.99, -0.98];0;0.002;0.2;-0.2;0.2
129;[-0.98, -0.97];0;0.002;0.2;-0.2;0.2
130;[-0.97, -0.97];0;0.002;0.2;-0.2;0.2
131;[-0.97, -0.96];0;0.002;0.2;-0.2;0.2
132;[-0.96, -0.95];0;0.002;0.2;-0.2;0.2
133;[-0.95, -0.94];0;0.002;0.2;-0.2;0.2
134;[-0.94, -0.93];1;0.0021;0.21;0.79;3.06
135;[-0.93, -0.93];0;0.0021;0.21;-0.21;0.21
136;[-0.93, -0.92];0;0.0021;0.21;-0.21;0.21
137;[-0.92, -0.91];0;0.0021;0.21;-0.21;0.21
